groupby_column,age_ajusted_hospitalizations_p50_iqr,month,trend,seasonal_strength,peak,trough,kw_estimate,kw_pval
Brazil,"19.6 [19.6, 19.6]",2012 Jan,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"17.9 [17.9, 17.9]",2012 Feb,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"20.8 [20.8, 20.8]",2012 Mar,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"20.7 [20.7, 20.7]",2012 Apr,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"24.7 [24.7, 24.7]",2012 May,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"26.2 [26.2, 26.2]",2012 Jun,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"29.6 [29.6, 29.6]",2012 Jul,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"24.3 [24.3, 24.3]",2012 Aug,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"23 [23, 23]",2012 Sep,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"22.9 [22.9, 22.9]",2012 Oct,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"18.7 [18.7, 18.7]",2012 Nov,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"17.9 [17.9, 17.9]",2012 Dec,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"19.1 [19.1, 19.1]",2013 Jan,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"18 [18, 18]",2013 Feb,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"20.8 [20.8, 20.8]",2013 Mar,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"23.7 [23.7, 23.7]",2013 Apr,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"26.1 [26.1, 26.1]",2013 May,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"26.2 [26.2, 26.2]",2013 Jun,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"28.6 [28.6, 28.6]",2013 Jul,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"26 [26, 26]",2013 Aug,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"23.3 [23.3, 23.3]",2013 Sep,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"21.8 [21.8, 21.8]",2013 Oct,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"18.5 [18.5, 18.5]",2013 Nov,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"18.3 [18.3, 18.3]",2013 Dec,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"19.1 [19.1, 19.1]",2014 Jan,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"16.8 [16.8, 16.8]",2014 Feb,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"19.6 [19.6, 19.6]",2014 Mar,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"21 [21, 21]",2014 Apr,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"24.2 [24.2, 24.2]",2014 May,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"24.6 [24.6, 24.6]",2014 Jun,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"23.9 [23.9, 23.9]",2014 Jul,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"24 [24, 24]",2014 Aug,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"22 [22, 22]",2014 Sep,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"21.3 [21.3, 21.3]",2014 Oct,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"17.7 [17.7, 17.7]",2014 Nov,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"17.5 [17.5, 17.5]",2014 Dec,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"17.6 [17.6, 17.6]",2015 Jan,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"14.6 [14.6, 14.6]",2015 Feb,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"19.3 [19.3, 19.3]",2015 Mar,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"22.2 [22.2, 22.2]",2015 Apr,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"24.5 [24.5, 24.5]",2015 May,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"24.1 [24.1, 24.1]",2015 Jun,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"24.9 [24.9, 24.9]",2015 Jul,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"21.6 [21.6, 21.6]",2015 Aug,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"19.7 [19.7, 19.7]",2015 Sep,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"18.7 [18.7, 18.7]",2015 Oct,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"16.9 [16.9, 16.9]",2015 Nov,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"16.9 [16.9, 16.9]",2015 Dec,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"16.4 [16.4, 16.4]",2016 Jan,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"15.6 [15.6, 15.6]",2016 Feb,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"20.5 [20.5, 20.5]",2016 Mar,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"23.5 [23.5, 23.5]",2016 Apr,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"24.3 [24.3, 24.3]",2016 May,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"23.6 [23.6, 23.6]",2016 Jun,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"22.9 [22.9, 22.9]",2016 Jul,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"19.8 [19.8, 19.8]",2016 Aug,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"18.5 [18.5, 18.5]",2016 Sep,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"17.9 [17.9, 17.9]",2016 Oct,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"15 [15, 15]",2016 Nov,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"15.1 [15.1, 15.1]",2016 Dec,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"15.4 [15.4, 15.4]",2017 Jan,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"15 [15, 15]",2017 Feb,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"21.4 [21.4, 21.4]",2017 Mar,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"20 [20, 20]",2017 Apr,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"22.9 [22.9, 22.9]",2017 May,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"23.3 [23.3, 23.3]",2017 Jun,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"23.8 [23.8, 23.8]",2017 Jul,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"20.9 [20.9, 20.9]",2017 Aug,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"19.4 [19.4, 19.4]",2017 Sep,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"18.8 [18.8, 18.8]",2017 Oct,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"17 [17, 17]",2017 Nov,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"16.4 [16.4, 16.4]",2017 Dec,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"16.3 [16.3, 16.3]",2018 Jan,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"14 [14, 14]",2018 Feb,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"17.8 [17.8, 17.8]",2018 Mar,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"20.1 [20.1, 20.1]",2018 Apr,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"22.7 [22.7, 22.7]",2018 May,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"23.2 [23.2, 23.2]",2018 Jun,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"24.1 [24.1, 24.1]",2018 Jul,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"20.9 [20.9, 20.9]",2018 Aug,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"18.3 [18.3, 18.3]",2018 Sep,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"16.9 [16.9, 16.9]",2018 Oct,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"15.8 [15.8, 15.8]",2018 Nov,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"15.8 [15.8, 15.8]",2018 Dec,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"15.3 [15.3, 15.3]",2019 Jan,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"13.4 [13.4, 13.4]",2019 Feb,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"16.5 [16.5, 16.5]",2019 Mar,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"18.9 [18.9, 18.9]",2019 Apr,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"22.2 [22.2, 22.2]",2019 May,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"22.7 [22.7, 22.7]",2019 Jun,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"23.4 [23.4, 23.4]",2019 Jul,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"20.8 [20.8, 20.8]",2019 Aug,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"18.8 [18.8, 18.8]",2019 Sep,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"17.8 [17.8, 17.8]",2019 Oct,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"15.3 [15.3, 15.3]",2019 Nov,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
Brazil,"15.9 [15.9, 15.9]",2019 Dec,0.7472772405542563,0.9295982678213861,7,2,74.92203608247422,1.4029222228373328e-11
